title,year,summary,genre,runtime,certificate,directors,actors,rating,votes,gross
Spencer,2021,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.","Biography, Drama",117,R,Pablo Larraín,"Kristen Stewart, Timothy Spall, Jack Nielen, Freddie Spry",7.2,9404,null
Home Alone,1990,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,"Comedy, Family",103,PG,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",7.6,514390,285.76
Love Actually,2003,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","Comedy, Drama, Romance",135,R,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney",7.6,450690,59.70
National Lampoon's Christmas Vacation,1989,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Comedy,97,PG-13,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki",7.6,167399,71.32
Elf,2003,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Adventure, Comedy, Family",97,PG,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel",7.0,241391,173.40
Die Hard,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action, Thriller",132,R,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",8.2,826677,83.01
RED,2010,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","Action, Comedy, Crime",111,PG-13,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker",7.0,300204,90.38
Eyes Wide Shut,1999,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","Drama, Mystery, Thriller",159,R,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Todd Field, Sydney Pollack",7.4,321119,55.69
The Nightmare Before Christmas,1993,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Animation, Family, Fantasy",76,PG,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",8.0,317909,75.08
Cast Away,2000,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"Adventure, Drama, Romance",143,PG-13,Robert Zemeckis,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",7.8,558457,233.63
La La Land,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Comedy, Drama, Music",128,PG-13,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",8.0,543955,151.10
